asset_name,symbol,decimals,domain_id,address
Wrapped Ether,WETH,18,1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
Wrapped Ether,WETH,18,10,0x4200000000000000000000000000000000000006
Wrapped Ether,WETH,18,56,0x2170Ed0880ac9A755fd29B2688956BD959F933F8
Wrapped Ether,WETH,18,8453,0x4200000000000000000000000000000000000006
Wrapped Ether,WETH,18,42161,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1
USD Coin,USDC,6,1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
USD Coin,USDC,6,10,0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85
USD Coin,USDC,18,56,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d
USD Coin,USDC,6,8453,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913
USD Coin,USDC,6,42161,0xaf88d065e77c8cC2239327C5EDb3A432268e5831
Tether USD,USDT,6,1,0xdAC17F958D2ee523a2206206994597C13D831ec7
Tether USD,USDT,6,10,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58
Tether USD,USDT,18,56,0x55d398326f99059fF775485246999027B3197955
Tether USD,USDT,6,42161,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9