origin_initiator,market_maker_name
0xe358bababc57442a25ab72196a9f80ff1c730300,aiori
0xade3867e7e2dace6fa60f21db2cc89f8fb624452,tokka
0x3b300aa7955785b18784e1323d0ce5ca56eb740d,dialectric
0x685482e7411b4566ecc01cca1c6de2d625669279,dialectric
0x24ee00f168803f32636a3bca2ed8c5baad6a7318,dialectric
0x140790805dc2f4b00f09936fd659f1592a097edd,dialectric
0x20786cc3367d3997f5b84884e10ff34cee132aa5,dialectric
0xe459df7899387691f38cdfb893e93c44bdd6d327,dialectric
0x05dd57bb6cde5d42bcc8e63a982eebcb8a1d68d7,nikita
0xb3980d86856bef23441ffb57b05df4f56e66a93e,james
0x000,khalil